#tag,dataset,iter1,iter2,iter3,iter4,iterLast,finalTiming,sumTiming
jackhmmer,up_Q7TUN9_Q7TUN9_PROMM,,,,,972.80,9.06,981.86
jackhmmer,up_Q7UIA9_Q7UIA9_RHOBA,,,,,1282.46,14.71,1297.17
jackhmmer,up_Q7X4R5_Q7X4R5_STRHY,,,,,6938.63,96.77,7035.40
jackhmmer,up_Q7ZZ22_Q7ZZ22_DANRE,,,,,4380.84,58.09,4438.93
jackhmmer,up_Q82MC8_Q82MC8_STRAW,,,,,4719.83,27.68,4747.51
jackhmmer,up_Q87SD0_Q87SD0_VIBPA,,,,,1999.19,23.11,2022.30
jackhmmer,up_Q89FJ3_Q89FJ3_BRAJA,,,,,11316.59,138.65,11455.24
jackhmmer,up_Q89HL9_Q89HL9_BRAJA,,,,,1383.36,12.66,1396.02
jackhmmer,up_Q89KX9_Q89KX9_BRAJA,,,,,12819.91,101.83,12921.74
jackhmmer,up_Q89SW2_Q89SW2_BRAJA,,,,,6623.54,15.66,6639.20
jackhmmer,up_Q8DMV6_URE1_THEEB,,,,,1530.14,16.28,1546.42
jackhmmer,up_Q8FGF1_Q8FGF1_ECOL6,,,,,3135.81,95.05,3230.86
jackhmmer,up_Q8MSX9_Q8MSX9_DROME,,,,,3666.01,14.87,3680.88
jackhmmer,up_Q8NJX5_Q8NJX5_9FUNG,,,,,8485.22,53.26,8538.48
jackhmmer,up_Q8NQK1_Q8NQK1_CORGL,,,,,11134.31,46.90,11181.21
jackhmmer,up_Q8P1Y9_Q8P1Y9_STRP8,,,,,11050.15,37.60,11087.75
jackhmmer,up_Q8PBT2_Q8PBT2_XANCP,,,,,3640.96,28.50,3669.46
jackhmmer,up_Q8R837_Q8R837_THETN,,,,,2617.55,24.84,2642.39
jackhmmer,up_Q8RK20_Q8RK20_PSEPU,,,,,746.02,6.14,752.16
jackhmmer,up_Q8THK3_GUAAB_METAC,,,,,721.36,9.29,730.65
jackhmmer,up_Q8TKH5_Q8TKH5_METAC,,,,,3540.07,19.57,3559.64
jackhmmer,up_Q8VYB2_Q8VYB2_ARATH,,,,,5418.71,38.91,5457.62
jackhmmer,up_Q8X0Y8_Q8X0Y8_METAN,,,,,2754.56,14.11,2768.67
jackhmmer,up_Q8Y3U7_Q8Y3U7_LISMO,,,,,1460.80,12.12,1472.92
jackhmmer,up_Q8YMP2_Q8YMP2_ANASP,,,,,4761.31,24.18,4785.49
jackhmmer,up_Q8YSC7_Q8YSC7_ANASP,,,,,4814.95,7.73,4822.68
jackhmmer,up_Q8ZW38_Q8ZW38_PYRAE,,,,,1986.35,14.51,2000.86
jackhmmer,up_Q92452_GOX_TALFL,,,,,2917.93,17.72,2935.65
jackhmmer,up_Q92Q05_Q92Q05_RHIME,,,,,5795.68,42.64,5838.32
jackhmmer,up_Q93GZ1_Q93GZ1_STRAW,,,,,2295.80,53.90,2349.70
jackhmmer,up_Q940A2_P2C31_ARATH,,,,,9829.01,40.29,9869.30
jackhmmer,up_Q94FS0_Q94FS0_LOLRI,,,,,2439.98,30.95,2470.93
jackhmmer,up_Q972B2_Q972B2_SULTO,,,,,1195.75,15.95,1211.70
jackhmmer,up_Q982I5_Q982I5_RHILO,,,,,,220.03,
jackhmmer,up_Q98G92_Q98G92_RHILO,,,,,6519.24,23.37,6542.61
jackhmmer,up_Q9AIH1_Q9AIH1_CARRU,,,,,2885.13,24.21,2909.34
jackhmmer,up_Q9AKJ4_Q9AKJ4_RICRI,,,,,1590.73,12.41,1603.14
jackhmmer,up_Q9C104_GDE1_SCHPO,,,,,24246.71,136.79,24383.50
jackhmmer,up_Q9C4F5_Q9C4F5_9EURY,,,,,271.31,2.41,273.72
jackhmmer,up_Q9FEH8_Q9FEH8_BRANA,,,,,11323.07,143.73,11466.80
jackhmmer,up_Q9HNT7_Q9HNT7_HALSA,,,,,2096.60,14.94,2111.54
jackhmmer,up_Q9KJ00_Q9KJ00_SORCE,,,,,14063.55,288.79,14352.34
jackhmmer,up_Q9RFK9_Q9RFK9_STIAU,,,,,11083.66,233.01,11316.67
jackhmmer,up_Q9S384_Q9S384_MYCLE,,,,,14559.41,283.24,14842.65
jackhmmer,up_Q9WYA5_Q9WYA5_THEMA,,,,,1702.99,19.71,1722.70
jackhmmer,up_Q9ZFY2_Q9ZFY2_9DEIN,,,,,867.46,6.51,873.97
